"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"Use SID on Frontend","Verwende Sitzungs-ID (SID) im Ladenbereich"
"Use Secure URLs in Admin","Verwende gesicherte URLs im Administrationsbereich"
"Use Secure URLs in Frontend","Verwende gesicherte URLs im Ladenbereich"
"Use Web Server Rewrites","Verwende Webserver Rewrites"
"VAT Number","Umsatzsteuer-Identifikationsnummer"
"Validate HTTP_USER_AGENT","Überprüfe HTTP_USER_AGENT"
"Validate HTTP_VIA","Überprüfe HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Überprüfe HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Überprüfe REMOTE_ADDR"
"Validation has failed.","Überprüfung fehlgeschlagen."
"Values less than 60 are ignored. Note that changes will apply after logout.","Werte kleiner als 60 werden ignoriert. Beachten Sie, dass die Änderungen nach dem Abmelden wirksam werden."
"Variable Code must be unique.","Variablen-Kode muss eindeutig sein."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warnung! Das Aktivieren dieser Funktion wird in Produktivsystemen nicht empfohlen, da es ein Sicherheitsrisiko darstellen könnte."
"Web","Web"
"Website","Webseite"
"Website Information","Webseite Information"
"Website Name","Webseite Name"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Der Webseiten-Kode darf nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) enthalten. Das erste Zeichen muss ein Buchstabe sein."
"Website with the same code","Webseite mit identischem Identifikationskode"
"Weekend Days","Wochenende"
"Welcome Text","Begrüßungstext"
"Windows server only","Nur Windows-Server"
"Wrong file info format","Falsches Format Dateiinfo"
"Wrong number of arguments for %s","Falsche Anzahl an Parametern für %s"
"Wrong old style column type definition: {$definition}.","Falsche Spaltenartdefinition alter Art: {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","Nachdem Sie Ihren angepassten Admin-Pfad gespeichert haben, müssen Sie einloggen."
"Your design change for the specified store intersects with another one, please specify another date range.","Ihre Gestaltungsänderung für den angegebenen Laden überschneidet sich mit einer anderen. Bitte wählen Sie einen anderen Zeitraum."
"database ""%s""","Datenbank ""%s"""
