" or "," oder "
"Use as my default shipping address","Als meine Standard-Versandadresse verwenden"
"VAT Number","Umsatzsteuernummer"
"VAT Request Date","Anfordungsdatum der Umsatzsteuer"
"VAT Request Identifier","Anfragekennung für Umsatzsteuer"
"VAT number","Umsatzsteuernummer"
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer wird überprüft"
"Validate on Each Transaction","Bei jeder Transaktion prüfen"
"Validation Error Group","Überprüfungsfehler Gruppe"
"View","Ansicht"
"View Order","Bestellung ansehen"
"Visitor","Besucher"
"Visitors Only","Nur Besucher"
"Website","Website"
"Welcome Email","Willkommensnachricht"
"Wishlist","Wunschzettel"
"Wishlist - %d item(s)","Wunschzettel - %d Artikel"
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"Wrong confirmation key.","Falscher Bestätigungsschlüssel."
"Wrong customer account specified.","Falsches Benutzerkonto angegeben."
"Wrong email.","Falsche eMail-Adresse angegeben."
"Wrong transactional account email type","Falscher Transaktionskonto eMail-Typ."
"Wrong transactional account email type.","Falscher Transaktionskonto eMail-Typ."
"YYYY","JJJJ"
"Year","Jahr"
"Yes","Ja"
"You are currently not subscribed to any newsletter.","Sie sind momentan für keinen Newsletter angemeldet."
"You are currently not subscribed to our newsletter.","Sie sind momentan nicht für unseren Newsletter angemeldet."
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo ""Allgemeines"" eingetragen."
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter eingetragen."
"You are now logged out","Sie sind jetzt abgemeldet"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden in 5 Sekunden zur Startseite weitergeleitet."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no additional entries in your address book.","Sie haben keine zusätzlichen Einträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse."
"You have no default entries in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Einträge."
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse angegeben."
"You have not set a default shipping address.","Sie haben keine Standard-Versandadresse angegeben."
"You have placed no orders yet.","Sie haben noch keine Bestellung aufgegeben."
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt."
"You will be charged tax.","Die anfallenden Steuern werden Ihnen in Rechnung gestellt."
"You will not be charged tax.","Die anfallenden Steuern werden Ihnen nicht in Rechnung gestellt."
"Your Tax ID cannot be validated.","Ihre Umsatzsteuer-Identifikationsnummer konnte nicht überprüft werden."
"Your VAT ID was successfully validated.","Ihre Umsatzsteuer-Identifikationsnummer wurde erfolgreich überprüft."
"Your account balance is: %s","Ihr Kontostand beträgt: %s"
"Your password has been updated.","Ihr Passwort wurde geändert."
"Your password reset link has expired.","Ihr Link zum Zurücksetzen des Passworts ist abgelaufen."
"ZIP","PLZ"
"ZIP/Post Code","Postleitzahl"
"Zip/Postal Code","Postleitzahl"
"n/a","Keine Angabe"
"or","oder"
"register","Registrieren"
